Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
SaregamaHumBhojpuri,Music and Dance,12100000.0,India,39300.0,2200.0,40.0,http://youtube.com/channel/UC0J8BQahplvTY6LjlnLf_NQ
CarryisLive,"Movies, Humor",12000000.0,India,0.0,0.0,0.0,http://youtube.com/channel/UC0IWRLai-BAwci_e9MylNGw
Family-Box,Movies,12000000.0,Russia,173600.0,6600.0,105.0,http://youtube.com/channel/UC-jHNWViReG6R_kJ6b45FdQ
AnnoyingOrange,"Movies, Animation",12100000.0,United States,187200.0,6900.0,445.0,http://youtube.com/channel/UCi-5OZ2tYuwMLIcEyOsbdRA
timesmusicindia,Music and Dance,12100000.0,India,5400.0,265.0,7.0,http://youtube.com/channel/UCo07fumrTn1w4AxcU4j_uDw
Super_Senya_RU,"Animation, Toys",12100000.0,Unknown,47200.0,192.0,0.0,http://youtube.com/channel/UCTn9Vyy-3fzLIr0bqhIbNig
HiTechIslamic,Music and Dance,12100000.0,Pakistan,62200.0,810.0,59.0,http://youtube.com/channel/UCtKKyuORzErSd7TWfkunxsw
HeeraGoldOfficial,Daily Vlogs,12000000.0,Pakistan,30600.0,953.0,70.0,http://youtube.com/channel/UC9dfnBWlg5h1Fr5_w8rjZyg
ChainsmokersVEVO,Music and Dance,12000000.0,United States,406600.0,16300.0,663.0,http://youtube.com/channel/UCRzzwLpLiUNIs6YOPe33eMg
linhnhishorts,Unknown,12000000.0,United States,500700.0,8300.0,9.0,http://youtube.com/channel/UCuiyUjYZyG24sgzBG0P6WsQ
dojacat,Music and Dance,11900000.0,United States,13600000.0,395300.0,73000.0,http://youtube.com/channel/UCzpl23pGTHVYqvKsgY0A-_w
BS_Arabic,Unknown,11900000.0,Egypt,6000.0,160.0,11.0,http://youtube.com/channel/UCmYYUdR85LRVB5yT1Y7DjFA
deepalimarkam1,Unknown,11900000.0,India,1400000.0,0.0,300.0,http://youtube.com/channel/UCSNpkW6wDg-0Gf7nxk0aFBQ
M4Techofficial,Unknown,11900000.0,India,825300.0,38100.0,827.0,http://youtube.com/channel/UClfll_TO6FpOPLUg4Aawhlw
CNCOMusic,Music and Dance,11900000.0,Mexico,8400.0,2100.0,83.0,http://youtube.com/channel/UCqtHOqxV71OQ-fmLdI8rBYw
SingleTrackStudioz,Music and Dance,11900000.0,India,20300.0,351.0,16.0,http://youtube.com/channel/UCOo61v1PPAjoN2exxYAzdAw
FrontaLGaming,"Movies, Animation",11900000.0,Unknown,113100.0,3900.0,195.0,http://youtube.com/channel/UCW6fcXU68QShoXPkxnPxATw
mmdcrew,"Music and Dance, Movies",11900000.0,Russia,3100000.0,189900.0,4800.0,http://youtube.com/channel/UCWnqnojAgMdN0fQpr_xByJw
PlanetEarthINDIA,Daily Vlogs,11900000.0,India,12200.0,577.0,61.0,http://youtube.com/channel/UCMZ1mhXvZEhAEwVtAMmvioA
TeremokSongs,Unknown,11900000.0,Russia,66100.0,170.0,0.0,http://youtube.com/channel/UCqZZoXlUEki3H7_GCQrw53A
user-tt5ge5fj4i,"Music and Dance, Animation",11900000.0,Unknown,72200.0,385.0,0.0,http://youtube.com/channel/UC-oIulX1JBJ0aKAB0GHnThA
UTKARSHCLASSES13,Education,11900000.0,India,79100.0,6300.0,136.0,http://youtube.com/channel/UCLuBF4Xr1-BIpcpFFm7zp7w
itsbrothersvlog,Unknown,11900000.0,Unknown,3100000.0,0.0,31.0,http://youtube.com/channel/UCrFBMpfAfSUDadcOBzwP0pw
GoldminesHousefull,Unknown,11900000.0,Unknown,8000.0,0.0,0.0,http://youtube.com/channel/UC2aBjYYDkwN5LLSB8957KZQ
oggy,Unknown,11900000.0,Unknown,163700.0,1300.0,0.0,http://youtube.com/channel/UCNEKMkg_DG8eAyR1BNWsSvw
PeppaPigHindiOfficial,"Movies, Toys",11900000.0,Unknown,451700.0,2900.0,0.0,http://youtube.com/channel/UCF9IpcBgYvMS3GKkM_xwiqA
KaKaKidsTV,Animation,11900000.0,Unknown,19200.0,434.0,0.0,http://youtube.com/channel/UCmS8VxPXxv4ToYpw0Yc2PQA
toysplay,"Animation, Toys",11900000.0,Unknown,185200.0,506.0,0.0,http://youtube.com/channel/UCdKicyl_ve5oyjasiO6njgQ
NickDiGiovanni,Food and Drink,11900000.0,United States,4300000.0,339800.0,2700.0,http://youtube.com/channel/UCMyOj6fhvKFMjxUCp3b_3gA
sagahits,Music and Dance,11900000.0,India,25800.0,497.0,10.0,http://youtube.com/channel/UCuFwzKrS0wE43CSkyaHBGiQ
HikakinTV,Humor,11900000.0,Japan,2100000.0,51000.0,2300.0,http://youtube.com/channel/UCZf__ehlCEBPop-_sldpBUQ
Jackdohertyy,Unknown,11900000.0,United States,867800.0,37000.0,406.0,http://youtube.com/channel/UCkj8f9sqSKuzn-NyP7Os1ZQ
